title,NEW impact,NEW category
Comparative analysis of AAV serotypes for transduction of olfactory sensory neurons,New method/model to explore PD mechanism,Methods
Modeling gene-environment interactions in Parkinson's Disease: Helicobacter pylori infection of Pink1-/- mice induces CD8 T cell-dependent motor and cognitive dysfunction.,New method/model to explore PD mechanism,Inflammation & Immune Regulation
Large-scale visualisation of α-synuclein oligomers in Parkinson’s disease brain tissue,New method/model to explore PD mechanism,"Proteinopathy, Methods"
Nova-ST: Nano-Patterned Ultra-Dense platform for spatial transcriptomics,New method/model to explore PD mechanism,Omics
An open-source MRI compatible frame for multimodal presurgical mapping in macaque and capuchin monkey,New method/model to explore PD mechanism,Methods
Comparative analysis of methods to reduce activation signature gene expression in PBMCs,Foundational Biology,Inflammation & Immune Regulation
Disease progression strikingly differs in research and real-world Parkinson's populations,Foundational Biology,"PD Risk Factors, Methods"
iSCORE-PD: an isogenic stem cell collection to research Parkinson Disease,New method/model to explore PD mechanism,Methods
3D bioprinting of human neural tissues with functional connectivity,New method/model to explore PD mechanism,"Methods, Circuitry & Neuromodulation"
Open-Source Platform for Kinematic Analysis of Mouse Forelimb Movement,New method/model to explore PD mechanism,Methods
Polyglucosan body density in the aged mouse hippocampus is controlled by a novel modifier locus on chromosome 1,Foundational Biology,PD Risk Factors
Alpha-synuclein overexpression can drive microbiome dysbiosis in mice,Elucidating known PD pathways,"Gut & Microbiome, Proteinopathy"
Systemic inflammation triggers long-lasting neuroinflammation and accelerates neurodegeneration in a rat model of Parkinson's disease overexpressing human alpha-synuclein,Elucidating known PD pathways,"Inflammation & Immune Regulation, Proteinopathy"
Generation of knock-in Cre and FlpO mouse lines for precise targeting of striatal projection neurons and dopaminergic neurons,New method/model to explore PD mechanism,Circuitry & Neuromodulation
Loss of primary cilia and dopaminergic neuroprotection in pathogenic LRRK2-driven and idiopathic Parkinson’s disease,Elucidating known PD pathways,"Clearance, Methods"
Generation of the iPSC line FINi002-A from a male Parkinson's disease patient carrying compound heterozygous mutations in the PRKN gene,New method/model to explore PD mechanism,Methods
Dopamine neuron activity encodes the length of upcoming contralateral movement sequences,Elucidating known PD pathways,Circuitry & Neuromodulation
Generation of locus coeruleus norepinephrine neurons from human pluripotent stem cells,New method/model to explore PD mechanism,Methods
Mechanism of human PINK1 activation at the TOM complex in a reconstituted system,Elucidating known PD pathways,Clearance
Chemically induced senescence in human stem cell-derived neurons promotes phenotypic presentation of neurodegeneration,Foundational Biology,Methods
Synchronous Measurements of Extracellular Action Potentials and Neurochemical Activity with Carbon Fiber Electrodes in Nonhuman Primates,New method/model to explore PD mechanism,"Methods, Circuitry & Neuromodulation"
Mutations in GPNMB associated with Amyloid cutis dyschromica alter intracellular trafficking and processing of GPNMB,Elucidating known PD pathways,"Clearance, Translational and Clinical Measures of Disease Biology"
Lysosomal TBK1 responds to amino acid availability to relieve Rab7-dependent mTORC1 inhibition,Elucidating known PD pathways,Clearance
A STING-CASM-GABARAP Pathway Activates LRRK2 at Lysosomes,Elucidating known PD pathways,Clearance
VPS13B is localized at the cis-trans Golgi complex interface and is a functional partner of FAM177A1,Foundational Biology,Clearance
RASP: Optimal single fluorescent puncta detection in complex cellular backgrounds,New method/model to explore PD mechanism,"Proteinopathy, Methods"
Persistent Hyposmia as Surrogate for α-Synuclein-Linked Brain Pathology,Confirmatory results,PD Risk Factors
Neuropathological assessment of the olfactory bulb and tract in individuals with COVID-19,Foundational Biology,Inflammation & Immune Regulation
Dynamic behaviour restructuring mediates dopamine-dependent credit assignment,Foundational Biology,Circuitry & Neuromodulation
General Discovery,Foundational Biology,Clearance
α-Synuclein pathology disrupts mitochondrial function in dopaminergic and cholinergic neurons at-risk in Parkinson’s disease,Elucidating known PD pathways,Circuitry & Neuromodulation
Is Gauchian genotyping of GBA1 variants reliable?,Confirmatory results,Omics
Neural heterogeneity controls computations in spiking neural networks,Foundational Biology,Circuitry & Neuromodulation
PyRates—A code-generation tool for modeling dynamical systems in biology and beyond,Foundational Biology,Methods
Macroscopic dynamics of neural networks with heterogeneous spiking thresholds,Foundational Biology,Circuitry & Neuromodulation
The R1441C-LRRK2 mutation induces myeloid immune cell exhaustion in an age- and sex-dependent manner,Elucidating known PD pathways,Inflammation & Immune Regulation
"A leaky gut dysregulates gene networks in the brain associated with immune activation, oxidative stress, and myelination in a mouse model of colitis",Foundational Biology,"Inflammation & Immune Regulation, Gut & Microbiome"
Anionic nanoplastic contaminants promote Parkinson’s disease–associated α-synuclein aggregation,Elucidating known PD pathways,Proteinopathy
Peripheral MC1R Activation Modulates Immune Responses and is Neuroprotective in a Mouse Model of Parkinson's Disease,Confirmatory results,Inflammation & Immune Regulation
Gut mucosal cells transfer α-synuclein to the vagus nerve,New target/circuit for PD,"Gut & Microbiome, Proteinopathy"
A role for the subthalamic nucleus in aversive learning,Foundational Biology,Circuitry & Neuromodulation
Disrupted sleep-wake regulation in the MCI-Park mouse model of Parkinson's Disease,New method/model to explore PD mechanism,Circuitry & Neuromodulation
A fluid-walled microfluidic platform for human neuron microcircuits and directed axotomy,New method/model to explore PD mechanism,Methods
Dynamic basal ganglia output signals license and suppress forelimb movements,Elucidating known PD pathways,Circuitry & Neuromodulation
Unique functional responses differentially map onto genetic subtypes of dopamine neurons,Elucidating known PD pathways,Circuitry & Neuromodulation
NeuroBooster Array: A Genome-Wide Genotyping Platform to Study Neurological Disorders Across Diverse Populations,New method/model to explore PD mechanism,"Methods, Omics"
The non-coding GBA1 rs3115534 variant is associated with REM sleep behavior disorder in Nigerians,Elucidating known PD pathways,Omics
Proteome census upon nutrient stress reveals Golgiphagy membrane receptors,New target/circuit for PD,"Clearance, Methods"
Investigation of the genetic aetiology of Lewy body diseases with and without dementia,Elucidating known PD pathways,Omics
LRRK2 kinase inhibition reverses G2019S mutation-dependent effects on tau pathology spread,Elucidating known PD pathways,"Clearance, PD Risk Factors"
Reduction of a-synuclein aggregates by PIKfyve inhibition via TFEB-mediated lysosomal biogenesis in a Parkinson disease model,New target/circuit for PD,"Clearance, Proteinopathy"
Single-cell somatic copy number variants in brain using different amplification methods and reference genomes,New method/model to explore PD mechanism,Omics
Systems-level analyses dissociate genetic regulators of reactive oxygen species and energy production,Elucidating known PD pathways,Clearance
Reduced striatal M4-cholinergic signaling following dopamine loss contributes to parkinsonian and l-DOPA–induced dyskinetic behaviors,Elucidating known PD pathways,Circuitry & Neuromodulation
Adaptor protein-3 produces synaptic vesicles that release phasic dopamine,Elucidating known PD pathways,Circuitry & Neuromodulation
iATPSnFR2: A high-dynamic-range fluorescent sensor for monitoring intracellular ATP,New method/model to explore PD mechanism,Clearance
Phosphoglycerate kinase is a central leverage point in Parkinson’s disease–driven neuronal metabolic deficits,Elucidating known PD pathways,"Clearance, PD Risk Factors"
A topographical atlas of α-synuclein dosage and cell type-specific expression in adult mouse brain and peripheral organs,Elucidating known PD pathways,"Proteinopathy, Methods"
