title,id,type,subtype,firstVersionTitle,firstVersionType,firstVersionRrid,firstVersionAccession,firstVersionLink
Alpha-synuclein aggregates are phosphatase resistant,7vOTHrqRxab7j6E6ptoscy,Published,Original Research,Alpha-synuclein aggregates are phosphatase resistant,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.11.20.567854v2
Neither alpha-synuclein fibril strain nor host murine genotype influences seeding efficacy,7ICEvwaANDPgCHwD7LZlBC,Published,Original Research,Neither alpha-synuclein-preformed fibrils derived from patients with GBA1 mutations nor the host murine genotype significantly influence seeding efficacy in the mouse olfactory bulb,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.08.24.554646v1
Biochemical Fractionation of Human α-Synuclein in a Drosophila Model of Synucleinopathies,6oZwdQt7XQNxSRNU55ZqV,Published,Original Research,Biochemical fractionation of human α-Synuclein in a Drosophila model of synucleinopathies,Preprint,,,https://www.biorxiv.org/content/10.1101/2024.02.05.579034v1?versioned=true
Contextual AI models for single-cell protein biology,HIOGHZvlwWD3F8vtf5Tto,Published,Original Research,Contextualizing protein representations using deep learning on protein networks and single-cell data,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.07.18.549602v1?versioned=true
Parkinsonism Sac domain mutation in Synaptojanin-1 affects ciliary properties in iPSC-derived dopaminergic neurons,4LDB4PF6IftmdIIhFbzZmz,Published,Original Research,Parkinsonism Sac domain mutation in Synaptojanin-1 affects ciliary properties in iPSC-derived dopaminergic neurons,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.10.12.562142v1?versioned=true
Autophagy preferentially degrades non-fibrillar polyQ aggregates.,3H23zIk8OyHgf3wRXkPwCZ,Published,Original Research,Autophagy preferentially degrades non-fibrillar polyQ aggregates,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.08.08.552291v1
Excessive firing of dyskinesia-associated striatal direct pathway neurons is gated by dopamine and excitatory synaptic input,46SlXVBw4LHyS0UICvjI9j,Published,Original Research,Excessive Firing of Dyskinesia-Associated Striatal Direct Pathway Neurons is Gated By Dopamine and Excitatory Synaptic Input,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.10.31.514594v1
"RAB32 Ser71Arg in autosomal dominant Parkinson's disease: linkage, association, and functional analyses",1gm44jZFE382a2w2va9sqI,Published,Original Research,A pathogenic variant in RAB32 causes autosomal dominant Parkinson's disease and activates LRRK2 kinase,Preprint,,,https://pubmed.ncbi.nlm.nih.gov/38293014/
SynBot: An open-source image analysis software for automated quantification of synapses,4ULDG6lTl5NFyzO1nJnlow,Published,Original Research,SynBot: An open-source image analysis software for automated quantification of synapses,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.06.26.546578v3.full
α-Synuclein overexpression and the microbiome shape the gut and brain metabolome in mice,5PwvP0dPFCPFKExYDqCFWv,Published,Original Research,α-Synuclein Overexpression and the Microbiome Shape the Gut and Brain Metabolome in Mice,Preprint,,,https://doi.org/10.1101/2024.06.07.597975
"Targeted micro-fiber arrays for measuring and manipulating localized multi-scale neural dynamics over large, deep brain volumes during behavior",6Fd4BdwfdgPICD2o3vH1vt,Published,Original Research,"Targeted micro-fiber arrays for measuring and manipulating localized multi-scale neural dynamics over large, deep brain volumes during behavior",Preprint,,,https://www.biorxiv.org/content/10.1101/2023.11.17.567425v1
Cell-type-directed design of synthetic enhancers,57VneAQXXjazySLnGnS9NC,Published,Original Research,Cell type directed design of synthetic enhancers,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.07.26.501466v1
Chronic hyperactivation of midbrain dopamine neurons causes preferential dopamine neuron degeneration,4rqYqWOC6qpgnXUvrxMyId,Published,Original Research,Chronic hyperactivation of midbrain dopamine neurons causes preferential dopamine neuron degeneration,Preprint,,,https://www.biorxiv.org/content/10.1101/2024.04.05.588321v2
Adult-Onset Deletion of ATP13A2 in Mice Induces Progressive Nigrostriatal Pathway Dopaminergic Degeneration and Lysosomal Abnormalities,WUWYJ6GkmiZuCgXdCJaYw,Published,Original Research,Adult-Onset Deletion of ATP13A2 in Mice Induces Progressive Nigrostriatal Pathway Dopaminergic Degeneration and Lysosomal Abnormalities,Preprint,,,https://www.biorxiv.org/content/10.1101/2024.01.25.577280v1
"R1441C and G2019S LRRK2 knockin mice have distinct striatal molecular, physiological, and behavioral alterations",6n4JlBAiCcpwF8iOAfkj6b,Published,Original Research,Pathogenic LRRK2 R1441C mutation is associated with striatal alterations,Preprint,,,https://www.biorxiv.org/content/10.1101/2020.03.11.986455v1?versioned=true
Proportion and distribution of neurotransmitter-defined cell types in the ventral tegmental area and substantia nigra pars compacta,38lW5rF995arWDsP0bogL9,Published,Original Research,Proportion and distribution of neurotransmitter-defined cell types in the ventral tegmental area and substantia nigra pars compacta,Preprint,,,https://www.biorxiv.org/content/10.1101/2024.02.28.582356v1
Pathways controlling neurotoxicity and proteostasis in mitochondrial complex I deficiency.,1RXf21c28qXFxr2P9xiboa,Published,Original Research,Pathways controlling neurotoxicity and proteostasis in mitochondrial complex I deficiency,Preprint,,,https://hub.asap.science/shared-research/wPzHvXdoVr1dJCmTMAsie
Integrative analysis reveals a conserved role for the amyloid precursor protein in proteostasis during aging,7wIk2Rm7QVp92l1OvDyE6R,Published,Original Research,Integrative analysis reveals a conserved role for the amyloid precursor protein in proteostasis during aging,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.10.06.560646v1
Nova-ST: Nano-Patterned Ultra-Dense platform for spatial transcriptomics,iZJoO3GmFUmurT2fb0nej,Published,Original Research,Nova-ST: Nano-Patterned Ultra-Dense platform for spatial transcriptomics,Preprint,,,https://www.biorxiv.org/content/10.1101/2024.02.22.581576v1
An open-source MRI compatible frame for multimodal presurgical mapping in macaque and capuchin monkey,OctRpZkBfR9wUcqJyu9K1,Published,Original Research,An open-source MRI compatible frame for multimodal presurgical mapping in macaque and capuchin monkey,Preprint,,,https://www.biorxiv.org/content/10.1101/2024.02.17.580767v1.full.pdf
Comparative analysis of methods to reduce activation signature gene expression in PBMCs,1tudjwvXsbB1F3vXZKSzm1,Published,Original Research,Comparative Analysis of Methods to Reduce Activation Signature Gene Expression in PBMCs,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.07.31.549036v1
Disease progression strikingly differs in research and real-world Parkinson's populations,56orbFaYfKYG0zghHTHC9d,Published,Original Research,Disease progression strikingly differs in research and real-world Parkinson's populations,Preprint,,,https://www.medrxiv.org/content/10.1101/2024.02.17.24302981v1
3D bioprinting of human neural tissues with functional connectivity,2gJk1sn9eIQgzyd9vlQHx5,Published,Original Research,3D Bioprinting of Human Neural Tissues with Functional Connectivity,Preprint,,,https://www.biorxiv.org/content/10.1101/2024.01.18.576289v1
Open-Source Platform for Kinematic Analysis of Mouse Forelimb Movement,2NAkc5Rtd1lX9wIknV5Y4N,Published,Original Research,Open-Source Platform for Kinematic Analysis of Mouse Forelimb Movement,Preprint,,,https://www.biorxiv.org/content/10.1101/2024.01.31.578239v1
Transcriptional programs mediating neuronal toxicity and altered glial-neuronal signaling in a Drosophila knock-in tauopathy model,vNDm3gJe6Pz0mGHaQSEb1,Published,Original Research,Transcriptional programs mediating neuronal toxicity and altered glial-neuronal signaling in a Drosophila knock-in tauopathy model,Preprint,,,https://www.biorxiv.org/content/10.1101/2024.02.02.578624v1
Kufor-Rakeb Syndrome-Associated Psychosis: A Novel Loss-of-Function ATP13A2 Variant and Response to Treatment,495AgGKvBTowStCtzfUySz,Published,Original Research,Kufor-Rakeb Syndrome-Associated Psychosis: A Novel Loss-of-Function ATP13A2 Variant and Response to Treatment,Preprint,,,https://www.medrxiv.org/content/10.1101/2024.01.12.23300401v1
Loss of primary cilia and dopaminergic neuroprotection in pathogenic LRRK2-driven and idiopathic Parkinson’s disease,515yLSMlVVRj6AzZOQ0UoL,Published,Original Research,Loss of primary cilia and dopaminergic neuroprotection in pathogenic LRRK2-driven and idiopathic Parkinson's disease,Preprint,,,https://www.biorxiv.org/content/10.1101/2024.01.15.575737v1
Dopamine neuron activity encodes the length of upcoming contralateral movement sequences,fWYoS3CdOwHhXyH2epluQ,Published,Original Research,Dopamine neuron activity encodes the length of upcoming contralateral movement sequences,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.04.20.440527v2.full
Mechanism of human PINK1 activation at the TOM complex in a reconstituted system,5k8dEWiM53tQ47FSY6TfcZ,Published,Original Research,Mechanism of human PINK1 activation at the TOM complex in a reconstituted system,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.12.23.573181v2
Chemically induced senescence in human stem cell-derived neurons promotes phenotypic presentation of neurodegeneration,9imqnq7b4Mdp5I25ECzIH,Published,Original Research,Chemically Induced Senescence in Human Stem Cell-Derived Neurons Promotes Phenotypic Presentation of Neurodegeneration,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.07.11.451956v1?panels_ajax_tab_tab=biorxiv_most_read&panels_ajax_tab_trigger=
Synchronous Measurements of Extracellular Action Potentials and Neurochemical Activity with Carbon Fiber Electrodes in Nonhuman Primates,7FEDnjzpMI7B73zG6KHjLM,Published,Original Research,Synchronous Measurements of Extracellular Action Potentials and Neurochemical Activity with Carbon Fiber Electrodes in Nonhuman Primates,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.12.23.573130v1
Lysosomal TBK1 responds to amino acid availability to relieve Rab7-dependent mTORC1 inhibition,4m6J3xoKBTyKyA4oK5B0t6,Published,Original Research,Lysosomal TBK1 Responds to Amino Acid Availability to Relieve Rab7-Dependent mTORC1 Inhibition,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.12.16.571979v1
RASP: Optimal single fluorescent puncta detection in complex cellular backgrounds,4qYr4Ceqh7FKKtk99ztyTF,Published,Original Research,RASP: Optimal single fluorescent puncta detection in complex cellular backgrounds,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.12.18.572148v1
Neuropathological assessment of the olfactory bulb and tract in individuals with COVID-19,7rCc4YHW2DB3OQs6BZfWln,Published,Original Research,Neuropathological assessment of the olfactory bulb and tract in individuals with COVID-19,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.12.18.572180v1
Dynamic behaviour restructuring mediates dopamine-dependent credit assignment,2fmbQogZL2lZaYqeUqqmZp,Published,Original Research,Dynamic refinement of behavioral structure mediates dopamine-dependent credit assignment,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.09.22.507905v1?versioned=true
α-Synuclein pathology disrupts mitochondrial function in dopaminergic and cholinergic neurons at-risk in Parkinson’s disease,1MQJvX5YxSc93LQiqKmSTj,Published,Original Research,α-Synuclein pathology disrupts mitochondrial function in dopaminergic and cholinergic neurons at-risk in Parkinson’s disease,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.12.11.571045v1
Neural heterogeneity controls computations in spiking neural networks,pNEUltH2tgW2FoPuk2gCP,Published,Original Research,Neural Heterogeneity Controls Computations in Spiking Neural Networks,Preprint,,,https://arxiv.org/abs/2206.08813
PyRates—A code-generation tool for modeling dynamical systems in biology and beyond,1TaxNOZkvmbzmYZ2y66odr,Published,Original Research,PyRates--A Code-Generation Tool for Dynamical Systems Modeling,Preprint,,,https://arxiv.org/abs/2302.03763v2
Macroscopic dynamics of neural networks with heterogeneous spiking thresholds,1lRcJHi0KJefWPpFy4yHnk,Published,Original Research,Macroscopic Dynamics of Neural Networks with Heterogeneous Spiking Thresholds,Preprint,,,https://arxiv.org/abs/2209.03501
"A leaky gut dysregulates gene networks in the brain associated with immune activation, oxidative stress, and myelination in a mouse model of colitis",79bE74ZGmsH1BjIMo5slEn,Published,Original Research,"A leaky gut dysregulates gene networks in the brain associated with immune activation, oxidative stress, and myelination in a mouse model of colitis",Preprint,,,https://www.biorxiv.org/content/10.1101/2023.08.10.552488v1
Anionic nanoplastic contaminants promote Parkinson’s disease–associated α-synuclein aggregation,2bYx0CJV53Z6uQp5djzQ5t,Published,Original Research,Anionic Nanoplastic Contaminants Promote Parkinson’s Disease-Associated α-Synuclein Aggregation,Preprint,,,https://www.researchsquare.com/article/rs-3439102/v1
Peripheral MC1R Activation Modulates Immune Responses and is Neuroprotective in a Mouse Model of Parkinson's Disease,2VAf97lcbzOi6MUkzOFriL,Published,Original Research,Peripheral MC1R activation modulates immune responses and is neuroprotective in a mouse model of Parkinson's disease,Preprint,,,https://www.researchsquare.com/article/rs-3042571/v1
Gut mucosal cells transfer α-synuclein to the vagus nerve,6G4Ef20ImJtkAxwn6EjrQx,Published,Original Research,Gut mucosal cells transfer α-synuclein to the vagus nerve,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.08.14.553305v2
A role for the subthalamic nucleus in aversive learning,7rJv2FwZ1jCW6vbIoFLkUk,Published,Original Research,Into the deep: The subthalamic and para-subthalamic nuclei in behavioral avoidance,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.07.18.549513v1
LINE-1 retrotransposons drive human neuronal transcriptome complexity and functional diversification,5lQJet8Dl1oaWb7A5qpMB1,Published,Original Research,L1 retrotransposons drive human neuronal transcriptome complexity and functional diversification,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.03.04.531072v1
A fluid-walled microfluidic platform for human neuron microcircuits and directed axotomy,67hUzJhpmdgcktkaSaiz5a,Published,Original Research,A fluid-walled microfluidic platform for human neuron microcircuits and directed axotomy,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.10.14.562004v1
Disrupted sleep-wake regulation in the MCI-Park mouse model of Parkinson's Disease,16KLqyuq4wzLQMvnTMtLYU,Published,Original Research,Disrupted sleep-wake regulation in the MCI-Park mouse model of Parkinson's Disease,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.11.09.566376v1
Unique functional responses differentially map onto genetic subtypes of dopamine neurons,7ECNDzTWdbpnj7fflL0ixi,Published,Original Research,Unique functional responses differentially map onto genetic subtypes of dopamine neurons,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.12.19.521076v1
Proteome census upon nutrient stress reveals Golgiphagy membrane receptors,20XmTX4h8bSg8Je8Phwhcg,Published,Original Research,Quantitative mapping of autophagic cargo during nutrient stress reveals YIPF3-YIPF4 as membrane receptors for Golgiphagy,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.12.06.519342v1
Investigation of the genetic aetiology of Lewy body diseases with and without dementia,2zx8082D6yTNCBBSiqWPmg,Published,Original Research,Investigation of the genetic aetiology of Lewy body diseases with and without dementia,Preprint,,,https://www.medrxiv.org/content/10.1101/2023.10.17.23297157v1
LRRK2 kinase inhibition reverses G2019S mutation-dependent effects on tau pathology spread,1n5pBkUu798TX4WIFiKgEn,Published,Original Research,LRRK2 kinase inhibition reverses G2019S mutation-dependent effects on tau pathology spread,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.10.06.561190v1
Single-cell somatic copy number variants in brain using different amplification methods and reference genomes,013kRL8YpTSqaqQZRPW6Df,Published,Original Research,Single-cell somatic copy number variants in brain using different amplification methods and reference genomes,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.08.07.552289v1
Adaptor protein-3 produces synaptic vesicles that release phasic dopamine,2jHnEfRZ45TsQh0oxRDeUI,Published,Original Research,Adaptor Protein-3 Produces Synaptic Vesicles that Release Phasic Dopamine,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.08.07.552338v1
iATPSnFR2: A high-dynamic-range fluorescent sensor for monitoring intracellular ATP,G9yOKgxRwIuYI07yjOWvX,Published,Original Research,iATPSnFR2: a high dynamic range fluorescent sensor for monitoring intracellular ATP,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.08.24.554624v1
Phosphoglycerate kinase is a central leverage point in Parkinson’s disease–driven neuronal metabolic deficits,5ksjpEI16xt2uEWDPpIIir,Published,Original Research,Phosphoglycerate kinase is a central leverage point in Parkinson’s Disease driven neuronal metabolic deficits,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.10.10.561760v1
A topographical atlas of α-synuclein dosage and cell type-specific expression in adult mouse brain and peripheral organs,2wzjQKWCD05BpF1BMWHHz7,Published,Original Research,A topographical atlas of αSyn dosage and cell-type expression in the mouse brain and periphery,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.10.05.559770v1
Control of mitophagy initiation and progression by the TBK1 adaptors NAP1 and SINTBAD,5vq5cImhSo0Q0n2WIWPFXc,Published,Original Research,Control of mitophagy initiation and progression by the TBK1 adaptors NAP1 and SINTBAD,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.09.25.559255v1
α-synuclein promotes neuronal dysfunction and death by disrupting the binding of ankyrin to ß-spectrin,e09a7bcc-e667-4a99-b43b-cebb566b1b33,Published,Original Research,α-synuclein promotes neuronal dysfunction and death by disrupting the binding of ankyrin to ß-spectrin,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.06.02.543481v1
Circular RNA in the human brain are tailored to neuron identity and neuropsychiatric disease,5cOKe1LcOIkIjxbPX7aru6,Published,Original Research,Circular RNAs in the human brain are tailored to neuron identity and neuropsychiatric disease,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.04.01.535194v1
State-dependent GABAergic regulation of striatal spiny projection neuron excitability,2o0ARVfeDeuNHHozhGychO,Published,Original Research,State-dependent GABAergic regulation of striatal spiny projection neuron excitability,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.03.14.532627v1
Detecting rhythmic spiking through the power spectra of point process model residuals,4yBbbo5WKVXwJGrLkb2PbZ,Published,Original Research,Detecting rhythmic spiking through the power spectra of point process model residuals,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.09.08.556120v1
Genetic meta-analysis of levodopa induced dyskinesia in Parkinson’s disease,3JdnRVDhxU1TOvHz6nx2t9,Published,Original Research,Genetic meta-analysis of levodopa induced dyskinesia in Parkinson’s disease,Preprint,,,https://www.medrxiv.org/content/10.1101/2023.05.24.23290362v2
Vibrational Stabilization of Complex Network Systems,5R4Sv9tqpcaOU8sIamR690,Published,Original Research,Vibrational Stabilization of Complex Network Systems,Preprint,,,https://arxiv.org/abs/2308.05823
Adult-specific Reelin expression alters striatal neuronal organization: implications for neuropsychiatric disorders,d5fad86b-00b9-4399-bc82-7f2891bde531,Published,Original Research,Adult-specific Reelin expression alters striatal neuronal organization. Implications for neuropsychiatric disorders,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.01.21.525025v1
A RAB7A Phosphoswitch Coordinates Rubicon Homology Protein Regulation of PINK1/Parkin-Dependent Mitophagy,13871abf-cde3-473c-b76c-8a0f227c36b6,Published,Original Research,A RAB7A Phosphoswitch Coordinates Rubicon Homology Protein Regulation of PINK1/Parkin-Dependent Mitophagy,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.08.28.555228v1
Feed-forward metabotropic signaling by Cav1 Ca2+ channels supports pacemaking in pedunculopontine cholinergic neurons,0f39e23f-5949-4f36-9817-73100ed34336,Published,Original Research,Feed-forward metabotropic signaling by Cav1 Ca2+ channels supports pacemaking in pedunculopontine cholinergic neurons,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.08.05.552108v1
The SATB1-MIR22-GBA axis mediates glucocerebroside accumulation inducing a cellular senescence-like phenotype in dopaminergic neurons,b73791e7-198e-4ff0-ba04-b290dd517c31,Published,Original Research,The SATB1-MIR22-GBA axis mediates glucocerebroside accumulation inducing a cellular senescence-like phenotype in dopaminergic neurons,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.07.19.549710v1
Inhibition of striatal dopamine release by the L-type calcium channel inhibitor isradipine co-varies with risk factors for Parkinson's,f2511b5b-fccf-4794-b096-f151d1065aa0,Published,Original Research,Inhibition of striatal dopamine release by the L-type calcium channel inhibitor isradipine co-varies with risk factors for Parkinson’s,Preprint,,,https://www.biorxiv.org/content/10.1101/2020.07.03.186411v2
Evaluation of an adapted semi-automated DNA extraction for human salivary shotgun metagenomics,70aadb36-c50c-4533-af12-a0a5f8ce2470,Published,Original Research,Systems biological assessment of human immunity to BNT162b2 mRNA vaccination,Preprint,,,https://pubmed.ncbi.nlm.nih.gov/34013244/
Phenotypic effect of GBA1 variants in individuals with and without Parkinson disease: the RAPSODI study,e8dba650-f9ea-4a53-ad91-ee7bd49572fb,Published,Original Research,Phenotypic effect of GBA1 variants in individuals with and without Parkinson disease: the RAPSODI study,Preprint,,,https://www.medrxiv.org/content/10.1101/2023.07.25.23291637v1
α-Synuclein expression in response to bacterial ligands and metabolites in gut enteroendocrine cells – an in vitro proof of concept study,765c2aa5-737c-4e18-b52c-addd17fbce29,Published,Original Research,α-synuclein expression in response to bacterial ligands and metabolites in gut enteroendocrine cells,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.04.02.535274v1.full
Localization of PPM1H phosphatase tunes Parkinson’s disease-linked LRRK2 kinase-mediated Rab GTPase phosphorylation and ciliogenesis,4c18efda-e42c-41e4-bd76-db3a34f5dfce,Published,Original Research,Localization of PPM1H phosphatase tunes Parkinson’s disease-linked LRRK2 kinase-mediated Rab GTPase phosphorylation and ciliogenesis,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.06.15.545139v1.full
Vibrational Stabilization of Cluster Synchronization in Oscillator Networks,a5cfea1a-4c75-443e-aa54-0964b7d2f956,Published,Original Research,Vibrational Stabilization of Cluster Synchronization in Oscillator Networks,Preprint,,,https://arxiv.org/abs/2308.07302
Erythroid Differentiation Dependent Interaction of VPS13A with XK at the Plasma Membrane of K562 Cells,7f77dcb8-1120-480f-9e3f-144eeb91b684,Published,Original Research,Erythroid differentiation dependent interaction of VPS13A with XK at the plasma membrane of K562 cells,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.08.09.552634v1
Neuromelanin accumulation drives endogenous synucleinopathy in non-human primates,ea6df4f7-b88e-4440-88f8-8131c09f2fb7,Published,Original Research,Neuromelanin accumulation drives endogenous synucleinopathy in non-human primates,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.08.04.551615v1
A mono- and intralink filter (mi-filter) to reduce false identifications in cross-linking mass spectrometry data,25235209-62f6-44d9-9496-3cc32cbeec11,Published,Original Research,A mono- and intralink filter (mi-filter) to improve false-discovery rates in cross-linking mass spectrometry data,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.02.03.478943v1
KAT8 compound inhibition inhibits the initial steps of PINK1-dependant mitophagy,b52361bf-b164-4672-8b91-ee2359c0ebd4,Published,Original Research,KAT8 compound inhibition inhibits PINK1/Parkin-dependent mitophagy and initiates mitochondrial delivery to lysosomes,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.08.03.551835v1
Reduced Thalamic Excitation to Motor Cortical Pyramidal Tract Neurons in Parkinsonism,72182fad-da22-4c4c-8f43-4bdf7f055699,Published,Original Research,Reduced Thalamic Excitation to Motor Cortical Pyramidal Tract Neurons in a Mouse Model of Parkinsonism,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.09.24.509340v1?versioned=true
Interaction of an α-synuclein epitope with HLA-DRB1*15:01 triggers enteric features in mice reminiscent of prodromal Parkinson’s disease,1800b2f2-5642-42ea-b848-d47cb5083e64,Published,Original Research,Interaction of an α-synuclein epitope with HLA-DRB1*15:01 initiates early enteric features of Parkinson’s disease in humanized mice,Preprint,,,https://www.biorxiv.org/content/10.1101/2022.02.03.479014v1
RAB3 phosphorylation by pathogenic LRRK2 impairs trafficking of synaptic vesicle precursors,127dd159-2881-4837-8c28-133164374b56,Published,Original Research,RAB3 phosphorylation by pathogenic LRRK2 impairs trafficking of synaptic vesicle precursors,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.07.25.550521v1.full.pdf
CURTAIN—A unique web-based tool for exploration and sharing of MS-based proteomics data,ffc05ec9-795c-4ded-95b2-5f1cbde48eba,Published,Original Research,CURTAIN – A Unique Web-based tool for exploration and sharing of MS-based proteomics data,Preprint,,,https://www.biorxiv.org/content/10.1101/2023.07.25.550405v1
"Three-step docking by WIPI2, ATG16L1 and ATG3 delivers LC3 to the phagophore",78210d68-bfa4-45d7-8719-22233ae25f75,Published,Original Research,"Three-step docking by WIPI2, ATG16L1 and ATG3 delivers LC3 to the phagophore",Preprint,,,https://www.biorxiv.org/content/10.1101/2023.07.17.549391v1
Synaptotagmin-1-dependent phasic axonal dopamine release is dispensable for basic motor behaviors in mice,e249d1ef-7588-45ac-b83e-c3abd93055b1,Published,Original Research,"The calcium sensor synaptotagmin-1 is critical for phasic axonal dopamine release in the striatum and mesencephalon, but is dispensable for basic motor behaviors in mice",Preprint,,,https://www.biorxiv.org/content/10.1101/2021.09.15.460511v1
Synapsin E-domain is essential for α-synuclein function,c9dfcd57-cc31-4a32-9463-014094081a90,Published,Original Research,Synapsin E-domain is essential for α-synuclein function,Preprint,,,https://doi.org/10.1101/2023.06.24.546170
